Time (s),Photometer (mg/L)
770.0148,4.002519608
771.0141,4.09278965
772.0154,4.088436127
773.0148,4.077373028
774.0141,4.079571247
775.0154,4.056381702
776.0148,4.151916981
777.0141,4.13825655
778.0154,3.955998898
779.0147,4.066537857
780.014,4.062468052
781.0154,4.010298252
782.0147,4.010288239
783.014,3.948014021
784.0153,3.898393869
785.0147,3.929983854
786.014,3.976345062
787.0153,3.916914702
788.0147,3.927442312
789.014,3.908147335
790.0153,3.944416285
791.0147,3.970640659
792.014,3.992889404
793.0153,3.946329355
794.0146,3.884446621
795.014,3.874690771
796.0153,3.839691639
797.0166,3.861747503
798.0159,3.894543171
799.0153,3.7806952
800.0166,3.763134003
801.0139,3.812893391
802.0153,3.826209545
803.0146,3.939301491
804.0139,3.863656044
805.0152,3.732069016
806.0145,3.738574743
807.0139,3.68409586
808.0152,3.643241167
809.0146,3.714190483
810.0139,3.686489582
811.0152,3.640433073
812.0165,3.660964251
813.0139,3.607961178
814.0152,3.573452711
815.0165,3.541448116
816.0138,3.499634743
817.0152,3.522782564
818.0145,3.57612443
819.0138,3.604732037
820.0151,3.582810164
821.0145,3.655482531
822.0138,3.580951929
823.0151,3.448037863
824.0145,3.464587688
825.0158,3.4719975
826.0151,3.532586813
827.0144,3.584450007
828.0138,3.524506331
829.0151,3.52912879
830.0144,3.506257772
831.0158,3.512906313
832.0151,3.47189045
833.0164,3.469961405
834.0137,3.523799419
835.0151,3.502621174
836.0144,3.463694811
837.0137,3.496745348
838.015,3.488248825
839.0143,3.468914747
840.0137,3.400480747
841.015,3.413979769
842.0144,3.381814957
843.0137,3.465448856
844.015,3.448978186
845.0143,3.377244473
846.0157,3.329029322
847.015,3.351970911
848.0143,3.286895514
849.0156,3.387818575
850.015,3.34550333
851.0143,3.254409313
852.0156,3.22466588
853.015,3.282766581
854.0143,3.257560492
855.0156,3.202094555
856.0149,3.219973326
857.0143,3.168117285
858.0156,3.151904821
859.0149,3.164840937
860.0143,3.142963648
861.0156,3.175107479
862.0149,3.23167038
863.0162,3.235589027
864.0155,3.263493776
865.0149,3.272525549
866.0142,3.252737045
867.0155,3.245765448
868.0149,3.18668294
869.0142,3.156942844
870.0155,3.207728624
871.0149,3.164751768
872.0142,3.128577232
873.0155,3.177156925
874.0148,3.181790113
875.0142,3.133870363
876.0155,3.16235137
877.0148,3.143986702
878.0161,3.118912935
879.0155,3.144282579
880.0148,3.086436033
881.0141,3.015913725
882.0154,3.072187185
883.0148,3.030095577
884.0141,3.026906729
885.0154,3.029987335
886.0148,3.038777113
887.0161,3.050124645
888.0154,3.010061026
889.0147,3.019091606
890.0161,2.998752594
891.0154,2.981530666
892.0147,2.981422424
893.014,2.975991249
894.0154,2.989563704
895.0167,2.966054678
896.014,2.927867174
897.0153,2.933171988
898.0147,3.00463295
899.014,2.990816593
900.0153,2.951560974
901.0147,2.93450284
902.014,2.985249996
903.0153,2.9379282
904.0146,2.951754808
905.0139,2.886223316
906.0153,2.894495964
907.0146,2.947309017
908.0139,2.902071476
909.0153,2.89872241
910.0166,2.850539684
911.0139,2.871781588
912.0152,2.936819315
913.0145,2.86767602
914.0139,2.880529881
915.0152,2.854155302
916.0145,2.792683363
917.0139,2.839405775
918.0152,2.811441898
919.0145,2.809217453
920.0158,2.830035448
921.0152,2.829979658
922.0145,2.878940344
923.0138,2.877131939
924.0152,2.847190857
925.0145,2.814068794
926.0158,2.774240017
927.0151,2.769892454
928.0145,2.744929791
929.0138,2.677555561
930.0151,2.704969645
931.0144,2.724796057
932.0137,2.734843254
933.0151,2.756103993
934.0144,2.768528462
935.0137,2.679168224
936.0151,2.733213425
937.0144,2.727450371
938.0157,2.657604694
939.0151,2.648470879
940.0144,2.7182374
941.0157,2.657847405
942.015,2.665474892
943.0144,2.662428618
944.0157,2.686957359
945.015,2.600582123
946.0143,2.627089977
947.0157,2.642415047
948.015,2.701338053
949.0163,2.641499281
950.0156,2.574268818
951.015,2.62569356
952.0143,2.636219025
953.0156,2.583120108
954.015,2.593829632
955.0143,2.62117219
956.0156,2.547526836
957.0149,2.611341715
958.0143,2.55681777
959.0176,2.533606052
960.0149,2.479138613
961.0162,2.557647705
962.0156,2.545801878
963.0149,2.56928277
964.0142,2.533852816
965.0155,2.493703604
966.0149,2.512195349
967.0142,2.50722456
968.0155,2.465243101
969.0148,2.45349288
970.0142,2.503498793
971.0155,2.540936232
972.0148,2.470313311
973.0142,2.418802023
974.0155,2.391869307
975.0148,2.399219513
976.0141,2.392194033
977.0155,2.416430235
978.0148,2.435598135
979.0161,2.39688015
980.0154,2.403755665
981.0147,2.382671595
982.0141,2.38995409
983.0154,2.366713047
984.0167,2.384596109
985.0141,2.352063417
986.0154,2.395194531
987.0147,2.385570288
988.016,2.392189503
989.0153,2.404726267
990.0147,2.333070755
991.014,2.339161158
992.0153,2.314243078
993.0147,2.348362207
994.014,2.352024555
995.0153,2.335406065
996.0147,2.338109732
997.014,2.319494247
998.0153,2.311735869
999.0146,2.269095421
1000.014,2.280088902
1001.015,2.304940701
1002.017,2.293521404
1003.014,2.252817631
1004.015,2.268397331
1005.015,2.273926735
1006.014,2.282177925
1007.015,2.249906063
1008.015,2.230159044
1009.014,2.201043606
1010.015,2.166859627
1011.015,2.188747883
1012.014,2.172452211
1013.015,2.24495554
1014.017,2.22941494
1015.016,2.220654964
1016.015,2.256645918
1017.015,2.264370441
1018.014,2.215583801
1019.015,2.182196617
1020.014,2.176811457
1021.014,2.169696331
1022.015,2.166908264
1023.014,2.225906134
1024.016,2.227629662
1025.015,2.144450903
1026.014,2.157442093
1027.014,2.061430454
1028.015,2.10368228
1029.014,2.164084673
1030.014,2.144986868
1031.015,2.125277042
1032.014,2.128602266
1033.016,2.089391232
1034.015,2.076574087
1035.014,2.115846157
1036.016,2.086811304
1037.015,2.047967911
1038.014,2.055987358
1039.016,2.066216946
1040.015,2.040188074
1041.014,2.052729607
1042.016,2.065043688
1043.015,2.064113617
1044.014,2.105478048
1045.016,2.101241112
1046.015,2.056952953
1047.016,2.075203419
1048.016,2.065035105
1049.015,2.019680023
1050.014,2.037153482
1051.016,2.004297018
1052.015,2.008600235
1053.016,1.997762322
1054.016,1.947966576
1055.015,1.9468261
1056.014,1.990381002
1057.016,1.937725782
1058.015,1.970406413
1059.014,1.933582902
1060.016,1.987445712
1061.015,1.925767064
1062.014,1.940904379
1063.016,1.884799719
1064.015,1.902122021
1065.014,1.917481661
1066.016,1.913224697
1067.015,1.882043958
1068.014,1.913794994
1069.015,1.906931877
1070.015,1.909546614
1071.014,1.912734032
1072.015,1.893238783
1073.015,1.912957907
1074.014,1.905628324
1075.015,1.934772015
1076.015,1.926014423
1077.014,1.928976178
1078.015,1.901790142
1079.015,1.869929552
1080.014,1.867570281
1081.015,1.896776915
1082.017,1.909855247
1083.014,1.898420453
1084.015,1.833830714
1085.015,1.830967426
1086.014,1.807278872
1087.015,1.785183907
1088.015,1.808160543
1089.016,1.792239189
1090.015,1.780884743
1091.017,1.852325678
1092.014,1.849106908
1093.015,1.789354563
1094.015,1.804944634
1095.014,1.783660889
1096.015,1.808303833
1097.015,1.793055534
1098.016,1.776367903
1099.015,1.778278112
1100.015,1.757015467
1101.014,1.734256029
1102.015,1.736722112
1103.017,1.71835959
1104.016,1.730722904
1105.015,1.76665628
1106.015,1.763489842
1107.014,1.733311296
1108.015,1.715080023
1109.015,1.704744697
1110.016,1.705615759
1111.015,1.684998751
1112.016,1.709350467
1113.014,1.719543338
1114.015,1.717380047
1115.014,1.69389987
1116.016,1.700341225
1117.015,1.696526527
1118.016,1.697236061
1119.014,1.700697184
1120.017,1.71958065
1121.016,1.682805181
1122.016,1.670594096
1123.015,1.659042239
1124.014,1.679230452
1125.016,1.687412143
1126.015,1.681568384
1127.016,1.687452912
1128.016,1.662396789
1129.015,1.654388666
1130.016,1.642312169
1131.016,1.638355613
1132.015,1.640686393
1133.014,1.627617955
1134.018,1.604631186
1135.015,1.615041852
1136.014,1.59622705
1137.016,1.582839489
1138.017,1.583066344
1139.014,1.589458466
1140.016,1.57051146
1141.015,1.583289027
1142.014,1.591703177
1143.016,1.575297356
1144.015,1.571957111
1145.016,1.552695394
1146.016,1.588988781
1147.015,1.582606912
1148.016,1.544377685
1149.016,1.562956929
1150.015,1.583588958
1151.014,1.594040275
1152.016,1.610548735
1153.015,1.598374486
1154.016,1.574910641
1155.016,1.551095843
1156.015,1.518420219
1157.014,1.538315773
1158.016,1.565529347
1159.015,1.562488318
1160.014,1.541854143
1161.015,1.525835633
1162.015,1.498621106
1163.014,1.520085216
1164.015,1.503418326
1165.015,1.496412516
1166.014,1.492905974
1167.015,1.499055505
1168.015,1.498128653
1169.016,1.490089655
1170.015,1.476938367
1171.017,1.481064677
1172.014,1.481006265
1173.015,1.463187456
1174.017,1.445948601
1175.016,1.467992306
1176.015,1.457096934
1177.017,1.451119423
1178.016,1.46233201
1179.015,1.438623667
1180.015,1.458217979
1181.016,1.473193765
1182.015,1.474238873
1183.017,1.463486433
1184.014,1.470220804
1185.015,1.435338497
1186.017,1.413947582
1187.014,1.414248705
1188.015,1.414124489
1189.015,1.441990018
1190.014,1.399402976
1191.015,1.407335877
1192.017,1.390460968
1193.016,1.408839941
1194.015,1.407410145
1195.015,1.378552914
1196.014,1.370802283
1197.017,1.381621242
1198.017,1.390114665
1199.016,1.361468434
1200.015,1.356570602
1201.016,1.35501349
1202.016,1.363739133
1203.015,1.358515024
1204.014,1.379243255
1205.016,1.371280909
1206.015,1.36415112
1207.014,1.36274004
1208.014,1.347659349
1209.015,1.331900477
1210.016,1.321829915
1211.014,1.315363765
1212.015,1.347366571
1213.016,1.342868209
1214.016,1.317610145
1215.015,1.291151881
1216.014,1.309813976
1217.018,1.317478657
1218.015,1.303208709
1219.014,1.287513018
1220.016,1.342092156
1221.015,1.325071812
1222.016,1.317847133
1223.016,1.302642703
1224.015,1.308665633
1225.016,1.269484401
1226.016,1.293167949
1227.015,1.267975926
1228.016,1.271523953
1229.016,1.287565231
1230.015,1.260257959
1231.014,1.265586495
1232.016,1.266579151
1233.015,1.295650363
